case,sex,age,sec,min,hour,date,month,year,country,openness,facet_imagination,facet_artistic_interests,facet_emotionality,facet_adventurousness,facet_intellect,facet_liberalism,conscientiousness,facet_self_efficacy,facet_orderliness,facet_dutifulness,facet_achievement_striving,facet_self_discipline,facet_cautiousness,extraversion,facet_friendliness,facet_gregariousness,facet_assertiveness,facet_activity_level,facet_excitement_seeking,facet_cheerfulness,agreeableness,facet_trust,facet_morality,facet_altruism,facet_cooperation,facet_modesty,facet_sympathy,neuroticism,facet_anxiety,facet_anger,facet_depression,facet_self_consciousness,facet_immoderation,facet_vulnerability
290636,1,20,9,35,1,26,7,109,USA,1.0,2.7238046880180633,1.0,1.0,5.482562088990235,19.09118658735892,6.879750348352232,84.45918926527872,35.57062646454057,88.82601451243409,96.93149583727586,59.50871942031665,66.6146913372175,86.18427994672345,26.330833489859913,32.96395269530268,17.427024341040777,40.434807185092495,27.840394651610865,14.486049426673304,67.21963358910307,78.69465374860533,61.61054636296922,97.03997816874039,36.66643893113121,89.77479615703214,78.02095385526434,38.059457108195716,31.045115928456397,59.65116442468491,7.180141644508581,30.373205774212465,43.28529155118588,34.12556235771552,55.07623775225028
308329,2,26,25,57,9,16,3,110,USA,1.0,1.0,87.43748015944948,20.791244461849743,16.304651131737984,1.0,11.02956043416009,93.40939776814287,38.03089399597786,97.80821267068507,83.38855564847916,84.6203993462982,76.20132219233813,95.89792084771852,34.30122259976932,66.8333246469353,31.560378358973026,1.8771889975362797,5.317763438902432,56.37210185571547,84.06143549742728,86.42110074567972,75.34008785972469,70.65410972728665,80.98379288575211,77.35318352774686,84.09613743118166,59.55017917542108,35.21233008586836,21.14522395556716,11.325256012873183,16.82603599576234,93.41517453375116,35.09415280946621,71.63636970116852
305482,1,27,49,51,10,4,2,110,USA,45.456695093931785,84.11426570792503,82.47693013887124,82.4708482798892,3.621488419063425,55.830976460441036,2.7499338129192665,14.942565127935723,12.562519840547253,79.98271330943305,57.946348166777,1.0,20.847780014460227,1.0,39.14519931178552,24.3543369865842,39.95646936187677,16.752530593318255,29.2312123443686,73.48346135784982,72.61901380720087,91.64763948633686,61.15337443158933,75.54997385039337,86.96632865979723,84.44731220264532,96.78591815813411,69.4156405997457,86.61493021938657,84.23552337241927,49.99999999999858,93.70817680018945,84.99941429810258,85.08412333851334,74.91866798595385
93097,2,33,22,2,15,29,0,102,Canada,10.970999308753136,79.42646223603026,1.0,47.70466906821406,1.0,5.030451167629934,43.8453517351694,6.966800263759168,7.391972611249315,45.40024373105052,11.881339115094278,1.0,19.490233876291597,13.513620199922286,24.035215611466498,17.11734969494421,17.11734969494421,25.93062308515377,26.715253344971444,38.2372666632848,71.05247102613345,29.07638395577041,57.1914253817464,1.0,35.1258481984101,14.378524128681903,79.92709893534379,42.68003802225007,87.59856168432407,73.33319121504621,80.97280035630354,90.96190324054191,72.49671585319584,81.35350509583145,79.86341080358977
100946,2,42,37,10,16,17,2,102,UK,60.16098206310011,79.42646223603026,60.5424373119057,59.13772006023231,39.96934393210995,56.08731942361942,43.8453517351694,56.31434375436572,44.29159025946308,49.58131153933135,72.33000753722172,53.441633783084455,64.3925588198357,43.67753549670533,29.04588386996008,36.531263140029694,11.138515019251571,44.24036830069821,49.99999999999858,29.566759293785054,51.03149623323941,56.59402553823344,42.80857461825059,81.41475722390544,40.99644796096635,42.17855658104003,55.302777255909916,65.03935511670318,48.5495490174207,46.8080809597364,46.766679265890104,55.668082219914254,40.094517212998085,73.06999613385693,34.571415401094725
159632,1,46,15,19,1,28,3,103,USA,66.57026742309819,28.5405116565955,82.47693013887124,68.70258339069414,16.292451020166226,50.53116852032986,96.28464744855683,24.248841379643494,5.302878311419761,76.14428173605461,33.70576361322108,19.2114517347637,17.445521498293687,33.69777385863253,26.542765947193516,24.3543369865842,31.512001956115284,13.27157339255723,58.269695887561284,16.400122364874676,67.93474740485391,46.35277685339031,17.11734969494421,43.344921433791285,20.67268965707339,76.10995412150169,27.54053586276666,95.68148758840823,95.9638917775718,95.08507306204467,78.89148812638973,84.53344341718957,77.5637764425644,99.55215657014026,89.66055077540534
329918,2,28,58,37,23,17,2,111,USA,61.46053037047943,92.76668478665965,82.88265030505261,36.380627243456786,61.07139808454821,40.894584213473934,25.80553116473422,58.67830270104173,50.63550054933802,62.034618989035664,92.17849549876689,59.13772006023231,23.061104035291663,58.25364669194022,29.04588386996008,17.11734969494421,14.002342391831263,8.03219799034747,21.487023866808073,88.15258071082917,71.05247102613345,83.3149210976419,66.54624894983101,96.55305110436132,70.54709916894535,72.76718201217892,79.92709893534379,42.68003802225007,60.09157733583032,46.8080809597364,20.33982698209911,85.98172945970623,95.65775474633347,30.49117442662336,58.035300002071665
217124,2,34,27,19,23,19,4,105,Canada,54.90627060670437,79.42646223603026,48.12729488399276,92.14274646283457,29.81782479991668,31.1132506634697,34.571415401094725,30.532174046879902,15.669449792360979,29.2312123443686,40.17220037646791,88.64046967681088,19.490233876291597,29.589779021082336,59.821672241187855,58.313084197575165,82.88265030505272,30.29568662558205,67.74027334454553,65.28896729696976,30.852352642443492,67.52247311050343,16.747620550392412,70.65410972728665,85.58941731904213,57.8214434189569,91.24648810278018,48.305582994432655,91.84447230878266,93.32981256886353,77.63595327780763,97.83343767738234,76.67913134796015,59.21514729374104,87.05895219246986
175718,1,24,4,45,8,19,8,103,UK,54.809833445474396,84.11426570792503,73.70462543469392,22.733263538806,12.407428221726605,50.53116852032986,72.13117650841292,56.56910333802563,45.63444639669791,40.92026450019563,57.946348166777,33.2971634767795,61.349416119693956,83.99766180589484,15.510568996188653,49.56063603396092,35.683822142085546,3.042668936525601,23.934694948060837,4.872688754605363,42.903871202689004,70.55319544967148,78.35350300402342,43.344921433791285,41.14506162258914,80.43433057250775,91.93618207072097,33.53431189536067,33.894274244368205,26.016015886155145,24.36667743994991,37.06068052157116,69.21080137353118,35.09415280946621,37.61317345856344
99565,2,18,37,50,14,9,2,102,USA,20.39930824141649,62.7658086140799,1.0,42.36174007540245,1.7823386851823528,86.22881786419691,5.27852589402211,55.157851850383736,85.63451242578503,79.81194919210759,38.816119411727584,77.94852195433975,49.99999999999858,2.6242539865913415,94.05021961510249,78.501107382834,86.04643655114467,95.93025064599658,91.1626011391437,71.08701564560687,90.31994505042348,3.169441517971876,45.676489579080624,11.657982565176184,41.82043671123682,17.480198646710647,1.0,1.0,54.73877103055514,66.39018662627882,69.83155565887887,13.553030566519794,38.087158236754135,99.63785082300456,47.19168211406509
